Description,Category,Local,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost
Pasta Penne GF,grocery,no,no,,no,,na,,no,,38.07
Pickle Chips ,grocery,no,no,,no,,na,,no,,29.86
Rice PreBoiled ,grocery,no,no,,no,,na,,no,,15.11
Tea,teacoffee,no,no,,no,,na,,no,,80.75
Egg Shell ,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,38.86
Salmon,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,no,,no,,173.25
Salami,meat,no,no,,no,,no,,no,,78.54
Pizza Cheese,dairy,no,no,,no,,no,,no,,126.02
Parm Cheese ,dairy,no,no,,no,,no,,no,,54.23
Decaf Tea - Hot bag bulk ,teacoffee,no,no,,yes,,na,,no,,26.7
Beef Pastrami,meat,no,no,,no,,no,,no,,159.82
Orange Juice Concentrate 4+1,beverages,no,no,,no,,na,,no,,125.7
Pit Ham,meat,no,no,,no,,no,,no,,120.72
Ham,meat,no,no,,no,,no,,no,,90.3
Passion Orange Guava 10% 5+1,beverages,no,no,,no,,na,,no,,47.99
Cold Cuts ,meat,no,no,,no,,no,,no,,129.9
Tuna Fish ,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,na,,no,,67.18
Cranberry Cocktail 10% 4+1,beverages,no,no,,no,,na,,no,,51.31
Dried Cranberry ,grocery,no,no,,no,,na,,no,,27.82
Salt ,grocery,no,no,,no,,na,,no,,2.96
Crakers,grocery,no,no,,no,,na,,no,,15.84
Cinnamon Toast Crunch Cereal,grocery,no,no,,no,,na,,no,,91.16
Bacon,meat,no,no,,no,,no,,,,831.6
Cracker Assortment Medley Sleeves ,grocery,no,no,,no,,na,,no,,35.62
Clams,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,no,,no,,111.97
Jelly Assorted #1 Cup ,grocery,no,no,,no,,na,,no,,12.53
Clam Juice,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,no,,no,,30.14
tortilla,grocery,no,no,,no,,no,,no,,21.48
Potato Chip Variety Kettle Style ,grocery,no,no,,no,,na,,no,,25.81
Cheezits White Cheddar ,grocery,no,no,,no,,na,,no,,20.06
Lucky Charms Cereal,grocery,no,no,,no,,na,,no,,83.64
Danish Dough,baked,no,no,,no,,no,,no,,39.8
Dark Brown Sugar,grocery,no,no,,no,,na,,no,,33.59
Kettle Potato Chip (west) ,grocery,no,no,,no,,na,,no,,23.79
Whipped Topping,grocery,no,no,,no,,no,,no,,158.36
Natural Sweet Potato Tortilla Chips ,grocery,no,no,,yes,,na,,no,,15.19
Soy Sauce,grocery,no,no,,no,,na,,no,,11.73
Pie Fruit of Forest,baked,no,no,,no,,na,,no,,44.93
Frozen Strawberries,produce,no,no,,no,,na,,no,,15.77
Candy,grocery,no,no,,no,,na,,no,,41.37
Hot Sauce,grocery,no,no,,no,,na,,no,,11.73
Cheese Ravioli,grocery,no,no,,no,,no,,no,,36.2
"Potato Fry 3/8""",grocery,no,no,,no,,na,,no,,43.24
Cereal,grocery,no,no,,no,,na,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",31.27
Ice Cream Cone,grocery,no,no,,no,,na,,no,,43.01
Peanut Butter,grocery,no,no,,no,,na,,no,,66.41
Apricot Preserve,grocery,no,no,,no,,na,,no,,12.38
Banana Pepper Mild Ring,grocery,no,no,,no,,na,,no,,30.86
Dough Roll Dinner Wheat,grocery,no,no,,no,,na,,no,,31.56
French Sub,grocery,no,no,,no,,na,,no,,69.8
Candy,grocery,no,no,,no,,na,,no,,33.65
Hot Sauce,grocery,no,no,,no,,na,,no,,20.42
Chai Tea Bag,teacoffee,no,no,,no,,na,,no,,18.27
Muffaletta 9 in.,baked,no,no,,no,,na,,no,,77.86
"Multigrain Deli 11/16""",baked,no,no,,no,,na,,no,,36.26
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,21.61
Coffee Syrup Toffee Nut,grocery,no,no,,no,,na,,no,,21.45
Cheese Stick Mozzarella Italian Bread,grocery,no,no,,no,,na,,no,,136.08
Oyster Cracker,grocery,no,no,,no,,na,,no,,23.02
Potato Hashbrowns,grocery,no,no,,no,,na,,no,,69.45
Dried Sweetened Cranberries,grocery,no,no,,no,,na,,yes,Contains Genetically Modified Organisms (GMOs),27.82
Sweet Potato Regular Cut Fries,grocery,no,no,,no,,na,,no,,122.45
Bacon Layout Applewood 14/18,meat,no,no,,no,,no,,no,,332.64
Potato Tater Puffs,grocery,no,no,,no,,na,,no,,136.02
Granola Bars,grocery,no,no,,no,,na,,no,,195.92
Wheatberry Hearty Loaf,baked,no,no,,no,,na,,no,,29.21
Chocolate Soy Milk,beverages,no,no,,no,,na,,no,,54.66
Tuna Light Chunk in Water,fish,no,no,,no,,no,,yes,Contains Genetically Modified Organisms (GMOs),67.18
Soy Milk,beverages,no,no,,no,,na,,no,,54.63
White Hearty Bread,baked,no,no,,no,,na,,no,,28.74
Pickle Chips,grocery,no,no,,no,,na,,no,,29.86
Pasta Ziti,grocery,no,no,,no,,na,,no,,18.55
Sliced Pepperoni 14-16 ct,meat,no,no,,no,,no,,yes,Concentrated Animal Feeding Operation (CAFO),81.45
Cream Cheese,dairy,no,no,,no,,na,,no,,19.32
Ripe Olives,grocery,no,no,,no,,na,,no,,35.76
Cream Cheese,dairy,no,no,,no,,no,,no,,48.4
String Cheese,dairy,no,no,,no,,na,,no,,39.37
Lite Mayonnaise,grocery,no,no,,no,,na,,no,,45.1
Focaccia Bread 6 in,baked,no,no,,no,,na,,no,,89.68
Chili Powder Dark,grocery,no,no,,no,,na,,no,,38.98
Turkey,poultry,no,no,,no,,no,,no,,70.59
Chicken Breast,poultry,no,no,,no,,no,,yes,Concentrated Animal Feeding Operation (CAFO),295.2
Corn Tortilla ,grocery,no,no,,no,,na,,no,,23.21
Red Pepper Roasted,produce,no,no,,no,,na,,no,,34.22
Diced Tomatos,grocery,no,no,,no,,na,,no,,75.6
Roasted Yellow Pepper,produce,no,no,,no,,na,,no,,47.49
Tuna,fish,no,no,,no,,no,,no,,67.18
Caper Nonpareil Imported,grocery,no,no,,no,,na,,no,,15.29
Bay Leaves,produce,no,no,,no,,na,,no,,14.33
Pinto Beans,grocery,no,no,,no,,na,,no,,24.91
Olive Oil,grocery,no,no,,no,,na,,no,,154.56
Pasta,grocery,no,no,,no,,na,,no,,37.1
Tortillas,grocery,no,no,,no,,na,,no,,22.55
Canola/Olive Oil Blend 90/10,grocery,no,no,,no,,na,,no,,51.52
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,39.42
Apple Cider Vinegar,grocery,no,no,,no,,na,,no,,26.58
Flour,grocery,no,no,,no,,na,,no,,15.6
Ripe Olives,grocery,no,no,,no,,na,,no,,35.76
Mayonanaise,grocery,no,no,,no,,na,,no,,45.1
Pasta,grocery,no,no,,no,,na,,no,,18.55
Kalamata Olives Pitted,grocery,no,no,,no,,na,,no,,16.49
Tortilla,grocery,no,no,,no,,na,,no,,20.8
Salt,grocery,no,no,,no,,na,,no,,17.75
Olives,produce,no,no,,no,,na,,no,,114.39
Tomato Diced in Juice No Salt,grocery,no,no,,no,,na,,no,,25.2
Water Chestnuts,produce,no,no,,no,,na,,no,,29.57
Honey,grocery,no,no,,no,,na,,no,,91.13
Caramel Topping,grocery,no,no,,no,,na,,no,,34.42
Black Beans,produce,no,no,,no,,na,,no,,19.99
Strawberry Topping,produce,no,no,,no,,na,,no,,46.29
Macadamia Nuts,grocery,no,no,,no,,na,,no,,196.6
Sweet Chili Sauce,grocery,no,no,,no,,na,,no,,27.96
Pure Clover Honey Grade A,grocery,no,no,,no,,na,,no,,15.19
Pasta,grocery,no,no,,no,,na,,no,,18.55
Pumpkin,produce,no,no,,no,,na,,no,,44.69
Jasmine Rice,grocery,no,no,,no,,na,,no,,40.51
Cake Mix,grocery,no,no,,no,,na,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",61.59
Cooking Wine,grocery,no,no,,no,,na,,no,,28.43
Coconut Milk Unsweetened,grocery,no,no,,no,,na,,no,,34.46
Ground Ginger,grocery,no,no,,no,,na,,no,,13.73
Cheese,dairy,no,no,,no,,na,,no,,800.51
Pasta Penne Rigate,grocery,no,no,,no,,na,,no,,18.55
Egg,eggs,no,no,,no,,na,,no,,433.12
Ricotta,dairy,no,no,,no,,na,,no,,29.05
Cream Cheese,dairy,no,no,,no,,na,,no,,34
Cagefree Eggs,eggs,no,no,,no,,yes,Certified Humane by Humane Farm Animal Care,no,,77.72
Cheese,dairy,no,no,,no,,na,,no,,75.54
Eggs,eggs,no,no,,no,,yes,Certified Humane by Humane Farm Animal Care,no,,155.44
Egg White Liquid,eggs,no,no,,no,,no,,no,,43.61
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,50.48
5 Blend Pizza Cheese,dairy,no,no,,no,,no,,no,,126.02
Goat Cheese Log,dairy,no,no,,no,,no,,no,,56.94
Extra Firm Organic Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,75.72
"12"" Wheat Tortilla Wrap",baked,no,no,,no,,na,,no,,21.48
Whole Edamame (Shelled Soybeans),grocery,no,no,,no,,na,,no,,28.48
Marble Rye Deli Bread ,baked,no,no,,no,,na,,no,,25.35
Whole Kernal Corn ,grocery,no,no,,no,,na,,no,,24.66
Sweetened Condensed Milk Pouch,dairy,no,no,,no,,no,,no,,116.78
"Potato Fry 3/8"" Colossal Crisp",grocery,no,no,,no,,na,,no,,86.48
Shell taco pre-fried 5in ,grocery,no,no,,no,,na,,no,,21.66
Tomato Crushed,grocery,no,no,,no,,na,,no,,88.92
Ravioli Cheese ,grocery,no,no,,yes,,na,,no,,90.5
Burgundy Coking Wine,grocery,no,no,,no,,na,,no,,28.3
Potato Fry Twister Original  Battered ,grocery,no,no,,no,,na,,no,,81.75
IQF Hash Browns (Loose) ,grocery,no,no,,no,,na,,no,,55.56
Vinegar Red Wine,grocery,no,no,,no,,na,,no,,28.63
"Potato Fry Stir 3/8"" Extra Long ",grocery,no,no,,no,,na,,no,,43.24
Potato Tater Puff ,grocery,no,no,,no,,na,,no,,90.68
Parboiled Rice,grocery,no,no,,no,,na,,no,,57.24
"Potato Fry str 5/16"" XL ",grocery,no,no,,no,,na,,no,,94.08
Bean Great Northern Dried ,grocery,no,no,,no,,na,,no,,26.65
Goat Cheese Log,dairy,no,no,,no,,no,,no,,28.47
Black Turtle Bean Dried ,grocery,no,no,,no,,na,,no,,19.99
Calrose Rice ,grocery,no,no,,yes,,na,,no,,33.19
Bar Variety 8 Pack,grocery,no,no,,no,,na,,yes,,437.9
Pollock,fish,no,no,,yes,,na,,no,,136.05
Sauterne cooking wine ,grocery,no,no,,no,,na,,no,,28.43
Frozen plantain,produce,no,no,,no,,na,,no,,133.44
Tomato Paste fcy ,grocery,no,no,,no,,na,,no,,29.85
Baklava,grocery,no,no,,no,,na,,no,,55.6
Syrup Pancake and Waffle ,grocery,no,no,,no,,na,,no,,22.42
Whole Corn Kernel,grocery,no,no,,no,,na,,no,,24.66
Red Wine Vinegar - plastic container,grocery,no,no,,no,,na,,no,,28.63
Puff Pastry,baked,no,no,,no,,na,,no,,45.9
Pickled Ginger ,grocery,no,no,,no,,na,,no,,29.19
Int Limp Mustard Dijon with white wine tin ,grocery,no,no,,no,,na,,no,,12.83
Quinoa,produce,no,no,,no,,na,,no,,116.32
PIckle Chip KK,grocery,no,no,,no,,na,,no,,29.86
"Flour Tortilla Wrap 12"" ",grocery,no,no,,no,,na,,no,,20.8
Corn Syrup Light,grocery,no,no,,no,,na,,no,,12.38
Apple Pie Filling,grocery,no,no,,no,,na,,no,,54.38
Extra Fine Granulated Sugar,grocery,no,no,,no,,na,,no,,61.18
Shortening Fry Canola Oil,grocery,no,no,,no,,na,,no,,190.19
Garbanzo Bean,grocery,no,no,,no,,na,,no,,26.64
Chocolate Chip Bars,grocery,no,no,,yes,,na,,no,,11
White distilled vinegar 50 grn ,grocery,no,no,,no,,na,,no,,22.84
Ketchup Bgnbx,grocery,no,no,,no,,na,,no,,39.42
Tomato diced in juice no salt ,grocery,no,no,,no,,na,,no,,75.6
Cereal Granola Oats 'N Honey,grocery,no,no,,no,,na,,no,,146.94
Cream Cheese Cups,dairy,no,no,,no,,no,,no,,48.4
Canola Olive Oil 90/10 Blend ,grocery,no,no,,no,,na,,no,,103.04
Salad Canola Oil,grocery,no,no,,no,,na,,no,,67.47
Yoghurt,dairy,no,no,,no,,no,,no,,16.28
"Shell Taco 5.5""",grocery,no,no,,no,,na,,no,,11.67
Rice Chex,grocery,no,no,,no,,na,,no,,41.04
Total Raisin Brand,grocery,no,no,,no,,na,,no,,48.77
Cereal Crunch Berry,grocery,no,no,,no,,na,,no,,31.27
Cheddar Jack Cheese,dairy,no,no,,no,,na,,no,,185.28
Feta Cheese,dairy,no,no,,no,,na,,no,,35.1
American Cheese,dairy,no,no,,no,,na,,no,,58.77
Swiss Cheese sliced,dairy,no,no,,no,,na,,no,,85.74
Pizza Shred Blend,dairy,no,no,,no,,na,,no,,252.04
Peaches,produce,no,no,,no,,na,,no,,21.58
Strawberries,produce,no,no,,no,,na,,no,,31.5
Solid Unsalted Butter,dairy,no,no,,no,,na,,no,,247.92
Raspberries,produce,no,no,,no,,na,,no,,39.15
Cagefree Eggs,dairy,no,no,,no,,yes,Certified Humane by Humane Farm Animal Care,no,,77.72
Orange Juice,beverages,no,no,,no,,na,,no,,37.46
Horseradish & Chive Havarti Cheese,dairy,no,no,,no,,na,,no,,47.05
Water,beverages,no,no,,no,,na,,no,,9.2
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,21.61
Gorgonzola Cheese,dairy,no,no,,no,,na,,no,,36.24
Steak Sauce,grocery,no,no,,no,,na,,yes,Contains Caramel Coloring,42.25
Havarti Cheese,dairy,no,no,,no,,na,,no,,45.43
Energy Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,11
Queso Cheese,dairy,no,no,,no,,na,,no,,53.24
Cheese,dairy,no,no,,no,,no,,no,,148.2
Cookie Dough,grocery,no,no,,no,,na,,no,,42.87
Egg Whl Liquid Fresh W/ Citric,dairy,no,no,,no,,na,,no,,433.12
Cookie Dough,grocery,no,no,,no,,na,,no,,56.96
Extra Firm Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,75.72
Tempeh,grocery,no,no,,yes,USDA Certified Organic,na,,no,,67.62
Dessert Bar Variety ,grocery,no,no,,no,,na,,no,,600
Sausage,meat,no,no,,no,,no,,no,,74.66
Tortilla,grocery,no,no,,no,,na,,no,,104.7
Texas Toast,baked,no,no,,no,,na,,no,,27.88
Cake,baked,no,no,,no,,na,,no,,191.94
Sausage,meat,no,no,,no,,no,,no,,55.7
Danish,baked,no,no,,no,,na,,no,,132.48
Cannoli Filling,grocery,no,no,,no,,na,,no,,33.38
Potato,produce,no,no,,no,,na,,no,,41.67
Gluten Free Rice Chex,grocery,no,no,,no,,na,,no,,82.08
Sausage ,meat,no,no,,no,,no,,no,,46.27
Powdered Sugar,grocery,no,no,,no,,na,,no,,33.59
Ham Prosciutto,meat,no,no,,no,,no,,no,,47.43
Raw Sliced Almonds,grocery,no,no,,no,,na,,no,,42.96
Mango Chunks,produce,no,no,,no,,na,,no,,35.1
Ham ,meat,no,no,,no,,no,,no,,232.86
Sliced Peaches Frozen,produce,no,no,,no,,na,,no,,21.58
Frozen Blackberries,produce,no,no,,no,,na,,no,,41.82
Turkey burgers ,poultry,no,no,,no,,no,,no,,23.53
Frozen Strawberries,produce,no,no,,no,,na,,no,,31.5
Pineapple Juice ,beverages,no,no,,no,,na,,no,,27.57
Shrimp,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,na,,no,,142.44
Liquid Chai,beverages,no,no,,yes,USDA Certified Organic,na,,no,,116.04
Tuna Light ,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñGood Alternativesî,na,,no,,67.18
Decaf Coffee,beverages,no,no,,yes,USDA Certified Organic,na,,no,,165.91
Tortillas ,baked,no,no,,no,,na,,no,,107.4
Grape Drink,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,52.31
Sliced Pepperoni,meat,no,no,,no,,no,,no,,81.45
Lemonade Base ,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,41.23
Orange ,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,125.7
Bread ,baked,no,no,,no,,na,,no,,114
Citrus Peach Drink,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,48.97
Bread Naan,baked,no,no,,no,,na,,no,,59.84
Peanut Butter Cup,grocery,no,no,,no,,na,,no,,26.06
Corn Wl Kernel,baked,no,no,,no,,na,,no,,73.98
Twix Caramel Bar,grocery,no,no,,no,,na,,no,,24.84
Kit Kat Bar,grocery,no,no,,no,,na,,no,,24.84
Potato Chips,baked,no,no,,no,,na,,no,,711.25
Cakes,baked,no,no,,no,,na,,no,,189
Dried & Sweetened Cranberries,grocery,no,no,,no,,na,,yes,Contains Genetically Modified Organisms (GMOs),27.82
Wonton Skin,baked,no,no,,no,,na,,no,,38.62
Potato Chips,grocery,no,no,,no,,na,,no,,48.3
Pie Shell,baked,no,no,,no,,na,,no,,97.4
Pea Green GR,baked,no,no,,no,,na,,no,,32.6
Potato Chip,grocery,no,no,,no,,na,,no,,25.81
Ketchup,grocery,no,no,,no,,na,,no,,50.24
Pita Bread,baked,no,no,,no,,na,,no,,74.49
Cannoli Filling ,baked,no,no,,no,,na,,no,,66.75
Peanut Butter,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),64.5
Gum,grocery,no,no,,no,,na,,no,,79.28
Whipped Toppings ,grocery,no,no,,no,,na,,no,,118.77
Energy Bar,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,11
Edamame,baked,no,no,,no,,na,,no,,56.96
Gummy Bears,grocery,no,no,,no,,na,,no,,46.13
Dough,baked,no,no,,no,,na,,no,,88
Energy Bar,grocery,no,no,,yes,,na,,no,,11
Onion Ring ,baked,no,no,,no,,na,,no,,105.44
Yogurt Pretzels,grocery,no,no,,no,,na,,no,,31.03
Mustard,grocery,no,no,,no,,na,,no,,13.39
Jelly,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,32.04
Pasta ,baked,no,no,,no,,na,,no,,203
Froot Loops,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),37.9
Fruit Rollup,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),24.72
Cone Cake,baked,no,no,,no,,na,,no,,43.01
Peanut Butter,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),66.41
Juice ,beverages,no,no,,no,,na,,no,,900
Potato Chips,grocery,no,no,,no,,na,,no,,41.67
Juices,beverages,no,no,,no,,na,,no,,295.2
Baguette,baked,no,no,,no,,na,,no,,32.17
Juice,beverages,no,no,,no,,na,,no,,218.4
Olive Oil ,grocery,no,no,,no,,na,,no,,154.56
Sriracha,grocery,no,no,,no,,na,,no,,28.89
Soda,beverages,no,no,,no,,na,,yes,,1138.18
Rice Vinegar,grocery,no,no,,no,,na,,no,,11.28
Canola Oil,grocery,no,no,,no,,na,,no,,51.52
Candy bars,grocery,no,no,,no,,na,,no,,101.7
Avocado,produce,no,no,,no,,na,,no,,151.38
Mushroom,produce,no,no,,no,,na,,no,,174.9
Celery,produce,no,no,,no,,na,,no,,31.42
Spices ,grocery,no,no,,no,,na,,no,,187.67
Curry Paste,grocery,no,no,,no,,na,,no,,18.22
Spring Salad Mix,produce,no,no,,no,,na,,no,,132.7
Rice,grocery,no,no,,no,,na,,no,,15.11
Salt ,grocery,no,no,,no,,na,,no,,2
Banana,produce,no,no,,no,,na,,no,,87.68
Mango,produce,no,no,,no,,na,,no,,19.45
Salad Canola ,grocery,no,no,,no,,na,,no,,67
Tortilla,grocery,no,no,,no,,na,,no,,21.48
Cilantro,produce,no,no,,no,,na,,no,,16.73
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,39
Thyme,produce,no,no,,no,,na,,no,,4.59
Tortilla,grocery,no,no,,no,,na,,no,,21.48
Parsley,produce,no,no,,no,,na,,no,,13.09
Pasta,grocery,no,no,,no,,na,,no,,18.55
Oregano,produce,no,no,,no,,na,,no,,13.25
Potatoes,produce,no,no,,no,,na,,no,,59.3
Craisins,produce,no,no,,no,,na,,yes,Contains Genetically Modified Organisms (GMOs),27.82
Basil,produce,no,no,,no,,na,,no,,68.4
Yams,produce,no,no,,no,,na,,no,,51.26
Onion,produce,no,no,,no,,na,,no,,88.56
Grain,grocery,no,no,,no,,na,,no,,217
Cheese,dairy,no,no,,no,,no,,no,,169.08
"Milk, Chocolate Milk, Cream, Half and Half",dairy,no,no,,no,,no,,no,,3083.8
Dried Cranberries ,grocery,no,no,,no,,na,,yes,Contains Genetically Modified Organisms (GMOs),27
Mustard,grocery,no,no,,no,,na,,no,,14.42
Cheese,dairy,no,no,,no,,no,,no,,74.1
Tomato,produce,no,no,,no,,na,,no,,218.04
Artichokes,grocery,no,no,,no,,na,,no,,60
Cheese,dairy,no,no,,no,,no,,no,,30.89
Zucchini,produce,no,no,,no,,na,,no,,39.52
Sour Cream,dairy,no,no,,no,,no,,no,,47.57
Grapefruit,produce,no,no,,no,,na,,no,,24.63
Tomatoes ,grocery,no,no,,no,,na,,no,,152.14
Pineapple,produce,no,no,,no,,na,,no,,38.56
Cheese,dairy,no,no,,no,,no,,no,,32.3
Pepper,produce,no,no,,no,,na,,no,,102.87
Sugar ,grocery,no,no,,no,,na,,no,,19
Squash,produce,no,no,,no,,na,,no,,23.91
Cheese,dairy,no,no,,no,,no,,no,,39.1
Greek Yogurt,dairy,no,no,,no,,no,,no,,350
Shortening Fry Oil ,baked,no,no,,no,,na,,no,,108.68
Orange,produce,no,no,,no,,na,,no,,28.57
Lemon,produce,no,no,,no,,na,,no,,27.07
Tortilla Flour ,grocery,no,no,,no,,na,,no,,45
Carrots,produce,no,no,,no,,na,,no,,42.11
olive ripe,grocery,no,no,,no,,na,,no,,71
Eggs,eggs,no,no,,no,,no,,no,,54.14
Bread Crumbs ,grocery,no,no,,no,,na,,no,,18
Ginger Pickle ,grocery,no,no,,no,,na,,no,,29
Grapes,produce,no,no,,no,,na,,no,,50.87
Milk Pints,dairy,no,no,,no,,no,,no,,68.42
Peas,produce,no,no,,no,,na,,no,,163.77
Strawberries,produce,no,no,,no,,na,,no,,56.34
Coating Arsl ,grocery,no,no,,no,,na,,no,,16
Blueberries,produce,no,no,,no,,na,,no,,88.28
Radish,produce,no,no,,no,,na,,no,,20.54
Long Rice,grocery,no,no,,no,,na,,no,,51
Tomato,grocery,no,no,,no,,na,,no,,66
Cereal Oats,grocery,no,no,,no,,na,,no,,33
Chocolate Milk Prisma,beverages,no,no,,no,,na,,no,,67.56
Asparagus,produce,no,no,,no,,na,,no,,62.28
Couscous ,grocery,no,no,,no,,na,,no,,22
Lettuce,produce,no,no,,no,,na,,no,,18.46
Tortillas ,grocery,no,no,,no,,na,,no,,41
Spinach,produce,no,no,,no,,na,,no,,17.11
Pepper Chipotle,grocery,no,no,,no,,na,,no,,18
Blueberries,produce,no,no,,no,,na,,no,,44.14
"Milk, Chocolate Milk, Cream, Half and Half",dairy,no,no,,no,,no,,no,,271.89
Dressing ,grocery,no,no,,no,,na,,no,,32
Dressing,grocery,no,no,,no,,na,,no,,38
Cottage Cheese,dairy,no,no,,no,,no,,no,,4.18
Garlic,produce,no,no,,no,,na,,no,,25.22
Broccoli,produce,no,no,,no,,na,,no,,20.01
Blackberry,produce,no,no,,no,,na,,no,,35.14
Watermelon,produce,no,no,,no,,na,,no,,19.14
Sour Cream,dairy,no,no,,no,,no,,no,,126.86
Milk,dairy,no,no,,yes,USDA Certified Organic,no,,no,,88.08
Dibs Ice Cream,dairy,no,no,,no,,no,,no,,43.54
Soy Milk,beverages,no,no,,yes,USDA Certified Organic,na,,no,,129.84
Cream Cheese Cups,dairy,no,no,,no,,no,,no,,48.4
Cream Cheese ,dairy,no,no,,no,,no,,no,,92.95
Soy Milk ,beverages,no,no,,no,,na,,no,,72.86
Cheese,dairy,no,no,,no,,no,,no,,1136.82
Cheese,dairy,no,no,,no,,no,,no,,21.55
Hummus with pretzels,grocery,no,no,,no,,na,,no,,63.12
Pancake Syrup,grocery,no,no,,no,,na,,no,,46.23
Sesame Seeds,produce,no,no,,no,,na,,no,,29.6
Apricot Preserve,grocery,no,no,,no,,na,,no,,12.38
Udon Noodles,grocery,no,no,,no,,na,,no,,31.9
Marshmallows,grocery,no,no,,no,,na,,yes,,25.11
Cooking Wine,grocery,no,no,,no,,na,,no,,35.51
Dried Cherries,grocery,no,no,,no,,na,,no,,44.16
Mayonnaise ,grocery,no,no,,no,,no,,no,,44.88
Tahini Paste,grocery,no,no,,no,,na,,no,,52.57
Barley,grocery,no,no,,no,,na,,no,,18.19
Parboiled Rice,grocery,no,no,,no,,na,,no,,30.22
Roasted Red Pepper,produce,no,no,,no,,na,,no,,34.22
Balsamic Vinegar,grocery,no,no,,no,,na,,no,,23.62
Dried Lentils,grocery,no,no,,no,,na,,no,,14.66
Cinnamon Stick,grocery,no,no,,no,,no,,no,,11.11
Canned Anchovies,fish,no,no,,no,,no,,no,,22.43
